address,city,soldDate,soldPrice,sqft,zipCode
250 W 11th St,New York,14-Jan-19,"$4,700,000 ","2,568 sqft",10014
,,,,,
178 E 80th St #8D,New York,14-Jan-19,"$625,000 ","138,875 sqft",10075
,,,,,
40 Broad St #14B,New York,14-Jan-19,"$950,000 ",842 sqft,10004
,,,,,
2101 Frederick Douglass Blvd #6D,New York,14-Jan-19,"$715,000 ",575 sqft,10026
,,,,,
181 7th Ave #14C,New York,14-Jan-19,"$1,150,000 ",618 sqft,10011
,,,,,
9-11 Mercer St #5B,New York,14-Jan-19,"$2,500,000 ","1,452 sqft",10013
,,,,,
420 W 25th St #1F,New York,14-Jan-19,"$2,350,000 ","1,949 sqft",10001
,,,,,
155 W 70th St #7G,New York,14-Jan-19,"$780,000 ",594 sqft,10023
,,,,,
10 Little St W #19A,New York,11-Jan-19,"$2,650,000 ","1,759 sqft",10280
,,,,,
555 W 59th St #6G,New York,11-Jan-19,"$1,850,000 ","1,116 sqft",10019
,,,,,
220 E 65th St #9E,New York,11-Jan-19,"$295,000 ",406 sqft,10065
,,,,,
240 Riverside Blvd #4,New York,11-Jan-19,"$1,250,000 ",827 sqft,10069
,,,,,
15 Central Park W #33B,New York,11-Jan-19,"$18,000,000 ","2,367 sqft",10023
,,,,,
275 W 96th St #6D,New York,17-Jan-19,"$1,475,000 ","1,026 sqft",10025
,,,,,
301 W 53rd St #20G,New York,17-Jan-19,"$950,000 ",678 sqft,10019
,,,,,
2109 Broadway #17131,New York,17-Jan-19,"$1,585,000 ",384 sqft,10023
,,,,,
345 E 80th St #30H,New York,17-Jan-19,"$770,000 ",627 sqft,10075
,,,,,
159 W 53rd St #14A,New York,17-Jan-19,"$650,000 ",498 sqft,10019
,,,,,
141 W 24th St #6,New York,17-Jan-19,"$3,375,000 ","2,500 sqft",10011
,,,,,
200 E 69th St #7E,New York,17-Jan-19,"$578,000 ",458 sqft,10021
,,,,,
125 E 12th St #4H,New York,23-Jan-19,"$1,300,000 ",895 sqft,10003
,,,,,
463 W 143rd St,New York,23-Jan-19,"$3,188,250 ","5,130 sqft",10031
,,,,,
162 E 80th St #2B,New York,23-Jan-19,"$2,025,000 ","49,435 sqft",10075
,,,,,
160 Wadsworth Ave #208,New York,23-Jan-19,"$375,000 ",527 sqft,10033
,,,,,
240 E 55th St #7D,New York,23-Jan-19,"$486,499 ","68,225 sqft",10022
,,,,,
326 W 83rd St #5D,New York,23-Jan-19,"$460,000 ","19,362 sqft",10024
,,,,,
181 E 65th St #4C,New York,23-Jan-19,"$2,750,000 ","1,606 sqft",10065
,,,,,
308 W 30th St #1A,New York,23-Jan-19,"$565,000 ",432 sqft,10001
,,,,,
352 W 117th St #5G,New York,22-Jan-19,"$975,000 ",953 sqft,10026
,,,,,
1 Lincoln Plz #20P,New York,22-Jan-19,"$2,050,000 ","1,056 sqft",10023
,,,,,
240 W End Ave #14A,New York,22-Jan-19,"$1,685,000 ","1,081 sqft",10023
,,,,,
215 W 134th St,New York,22-Jan-19,"$2,080,000 ","2,550 sqft",10030
,,,,,
2110 Frederick Douglass Blvd #6B,New York,22-Jan-19,"$1,585,000 ","1,322 sqft",10026
,,,,,
246 Spring St #3004,New York,22-Jan-19,"$550,000 ",425 sqft,10013
,,,,,
2077 5th Ave #5C,New York,22-Jan-19,"$1,270,000 ","1,260 sqft",10035
,,,,,
69-71 E 130th St #4C,New York,22-Jan-19,"$636,500 ",778 sqft,10037
,,,,,
333 E 34th St #12H,New York,22-Jan-19,"$760,000 ",715 sqft,10016
,,,,,
1 Central Park W #35E,New York,18-Jan-19,"$3,150,000 ","1,444 sqft",10023
,,,,,
311 E 38th St #18B,New York,18-Jan-19,"$951,000 ",745 sqft,10016
,,,,,
48 W 138th St #6K,New York,18-Jan-19,"$490,000 ",455 sqft,10037
,,,,,
19 Mount Morris Park W #5A,New York,18-Jan-19,"$1,075,000 ",917 sqft,10027
,,,,,
303 E 49th St #22,New York,18-Jan-19,"$3,650,000 ","2,432 sqft",10017
,,,,,
88 Greenwich St #1013,New York,18-Jan-19,"$640,000 ",627 sqft,10006
,,,,,
311 E 38th St #11C,New York,18-Jan-19,"$652,000 ",496 sqft,10016
,,,,,
300 E 62nd St #1003,New York,18-Jan-19,"$510,000 ",435 sqft,10065
,,,,,
125 E 12th St #1D,New York,18-Jan-19,"$3,250,000 ","2,058 sqft",10003
,,,,,
80 W 120th St,New York,18-Jan-19,"$2,900,000 ","4,740 sqft",10027
,,,,,
45 Park Ave #2103,New York,17-Jan-19,"$1,490,000 ",812 sqft,10016
,,,,,
1438 3rd Ave #26B,New York,17-Jan-19,"$1,175,000 ",790 sqft,10028
,,,,,
88 Greenwich St #3505,New York,17-Jan-19,"$995,000 ",681 sqft,10006
,,,,,
800 10th Ave,New York,25-Jan-19,"$3,100,000 ","1,702 sqft",10019
,,,,,
120 Riverside Blvd #15T,New York,25-Jan-19,"$1,588,888 ","1,043 sqft",10069
,,,,,
159 W 118th St #2E,New York,25-Jan-19,"$1,325,000 ","1,296 sqft",10026
,,,,,
635 W 42nd St #20F,New York,25-Jan-19,"$1,175,000 ",758 sqft,10036
,,,,,
520 W 110th St #1C,New York,25-Jan-19,"$2,100,000 ","1,631 sqft",10025
,,,,,
380 Rector Pl #10A,New York,25-Jan-19,"$1,380,000 ",873 sqft,10280
,,,,,
555 W 23rd St #N6G,New York,25-Jan-19,"$750,000 ",508 sqft,10011
,,,,,
130 E 12th St #3A,New York,29-Jan-19,"$2,400,000 ","1,705 sqft",10003
,,,,,
2280 Frederick Douglass Blvd #10F,New York,29-Jan-19,"$1,420,000 ","1,225 sqft",10027
,,,,,
258 Saint Nicholas Ave #6D,New York,29-Jan-19,"$1,350,000 ","1,320 sqft",10027
,,,,,
416 E 117th St #4C,New York,29-Jan-19,"$658,630 ",771 sqft,10035
,,,,,
295 Greenwich St #8JN,New York,29-Jan-19,"$640,000 ",432 sqft,10007
,,,,,
1623 3rd Ave #20J,New York,29-Jan-19,"$780,000 ",833 sqft,10128
,,,,,
2112 Broadway #5A,New York,29-Jan-19,"$3,900,000 ","2,193 sqft",10023
,,,,,
224 E 52nd St #22,New York,29-Jan-19,"$655,000 ",600 sqft,10022
,,,,,
250 E 40th St #24B,New York,29-Jan-19,"$1,290,000 ",967 sqft,10016
,,,,,
