,address,city,soldDate,soldPrice,sqft,zipCode,borough
10570,1634 E 36th St,Brooklyn,12-Oct-18,670000.0,1064,11234,Brooklyn
10571,67 Clifton Pl,Brooklyn,12-Oct-18,,5980,11238,Brooklyn
10572,956 E 14th St,Brooklyn,12-Oct-18,200000.0,2112,11230,Brooklyn
10573,301 Pulaski St,Brooklyn,12-Oct-18,999000.0,2643,11206,Brooklyn
10574,516 Rugby Rd,Brooklyn,12-Oct-18,1465000.0,2431,11226,Brooklyn
10575,849 Madison St,Brooklyn,12-Oct-18,,2200,11221,Brooklyn
10576,304 Hendrix St,Brooklyn,12-Oct-18,824000.0,1200,11207,Brooklyn
10577,2024 58th St,Brooklyn,12-Oct-18,990000.0,1420,11204,Brooklyn
10578,491 Montauk Ave,Brooklyn,12-Oct-18,578874.0,1224,11208,Brooklyn
10579,659 Putnam Ave,Brooklyn,12-Oct-18,,2736,11221,Brooklyn
10580,1192 E 93rd St,Brooklyn,12-Oct-18,,1764,11236,Brooklyn
10581,26 E 10th St,Brooklyn,12-Oct-18,2242794.0,1532,11218,Brooklyn
10582,3056 Brighton 7th St,Brooklyn,12-Oct-18,965000.0,3132,11235,Brooklyn
10583,2072 E 58th St,Brooklyn,12-Oct-18,880000.0,2768,11234,Brooklyn
10584,2250 E 71st St,Brooklyn,12-Oct-18,900000.0,1672,11234,Brooklyn
10585,507 E 4th St,Brooklyn,12-Oct-18,950000.0,1785,11218,Brooklyn
10586,333 18th St,Brooklyn,12-Oct-18,,3750,11215,Brooklyn
10587,226 Etna St,Brooklyn,12-Oct-18,800000.0,2192,11208,Brooklyn
10588,2810 Tilden Ave,Brooklyn,12-Oct-18,799000.0,1440,11226,Brooklyn
10589,857 60th St #6A,Brooklyn,12-Oct-18,450000.0,659,11220,Brooklyn
10590,320 23rd St #2B,Brooklyn,12-Oct-18,630000.0,685,11215,Brooklyn
10591,581 84th St,Brooklyn,12-Oct-18,680000.0,2040,11209,Brooklyn
10592,554 Gates Ave,Brooklyn,12-Oct-18,1637500.0,3887,11221,Brooklyn
10593,692 Ashford St,Brooklyn,11-Oct-18,839000.0,1960,11207,Brooklyn
10594,1500 E 54th St,Brooklyn,11-Oct-18,590000.0,1332,11234,Brooklyn
10595,26 Windsor Pl,Brooklyn,11-Oct-18,1140000.0,838,11215,Brooklyn
10596,69 Clifton Pl,Brooklyn,11-Oct-18,,5980,11238,Brooklyn
10597,2162 Brown St,Brooklyn,11-Oct-18,780000.0,1827,11229,Brooklyn
10598,1095 Dumont Ave,Brooklyn,15-Oct-18,,2400,11208,Brooklyn
10599,390 Madison St,Brooklyn,15-Oct-18,,2700,11221,Brooklyn
10600,144 Wyona St,Brooklyn,15-Oct-18,625000.0,1305,11207,Brooklyn
10601,2015 E 24th St,Brooklyn,15-Oct-18,1350000.0,2640,11229,Brooklyn
10602,488 Chauncey St,Brooklyn,15-Oct-18,,2700,11233,Brooklyn
10603,343 4th Ave #6B,Brooklyn,15-Oct-18,1655000.0,1350,11215,Brooklyn
10604,244 E 48th St,Brooklyn,15-Oct-18,525000.0,1725,11203,Brooklyn
10605,1683 E 46th St,Brooklyn,15-Oct-18,545000.0,1264,11234,Brooklyn
10606,39 28th Ave,Brooklyn,15-Oct-18,,2326,11214,Brooklyn
10607,2672 E 24th St #3A,Brooklyn,15-Oct-18,660000.0,1424,11235,Brooklyn
10608,2527 E 27th St,Brooklyn,15-Oct-18,,2166,11235,Brooklyn
10609,286 Saint Johns Pl #4B,Brooklyn,15-Oct-18,650000.0,623,11238,Brooklyn
10610,205 Water St #7N,Brooklyn,15-Oct-18,1135000.0,806,11201,Brooklyn
10611,161 Senator St,Brooklyn,15-Oct-18,1159500.0,1636,11220,Brooklyn
10612,309 Covert St,Brooklyn,15-Oct-18,,2120,11237,Brooklyn
10613,94 Bainbridge St,Brooklyn,15-Oct-18,1700000.0,2304,11233,Brooklyn
10614,37 Linden St,Brooklyn,15-Oct-18,,1596,11221,Brooklyn
10615,1664 71st St,Brooklyn,15-Oct-18,839000.0,1020,11204,Brooklyn
10616,1125 E 83rd St,Brooklyn,15-Oct-18,645000.0,1844,11236,Brooklyn
10617,82 Powers St,Brooklyn,15-Oct-18,,5445,11211,Brooklyn
10618,181 13th St,Brooklyn,15-Oct-18,1625000.0,1696,11215,Brooklyn
10619,412 8th Ave #A4,Brooklyn,15-Oct-18,899000.0,812,11215,Brooklyn
10620,706 Van Siclen Ave,Brooklyn,15-Oct-18,670000.0,2175,11207,Brooklyn
10621,85 Hudson Ave #4A,Brooklyn,15-Oct-18,875000.0,816,11201,Brooklyn
10622,38 Bay 10th St,Brooklyn,16-Oct-18,995000.0,1428,11228,Brooklyn
10623,1771 E 26th St,Brooklyn,16-Oct-18,1037000.0,1364,11229,Brooklyn
10624,1431 E 3rd St,Brooklyn,16-Oct-18,850000.0,720,11230,Brooklyn
10625,2817 W 19th St,Brooklyn,16-Oct-18,628000.0,1280,11224,Brooklyn
